ID	Original Text	Translated Text
2262	Is there something you need? 	Is there something you need? 
2263	I’ve worked on fourteen different ships in my life. All different crews. all different jobs. Though the work changed. I realized every ship needs the same thing—a sense of camaraderie. Without it. things go downhill fast. Believe me. I’ve lived through several mutinies. hijackings. and even a crash landing. If you can’t work together. you’re as good as dead. 	I’ve worked on fourteen different ships in my life. All different crews. all different jobs. Though the work changed. I realized every ship needs the same thing—a sense of camaraderie. Without it. things go downhill fast. Believe me. I’ve lived through several mutinies. hijackings. and even a crash landing. If you can’t work together. you’re as good as dead. 
2264	Did you know this station was built from parts of starships? Some of the rooms still resemble the layouts of their original vessels. 	Did you know this station was built from parts of starships? Some of the rooms still resemble the layouts of their original vessels. 
2265	We ran out of most our rations during our last trip. and we had to live on protein packs for three straight weeks. I was so hungry for real food that when I got to Cornelia. I bought an entire crate of drone meat. I never even liked drone meat before now. 	We ran out of most our rations during our last trip. and we had to live on protein packs for three straight weeks. I was so hungry for real food that when I got to Cornelia. I bought an entire crate of drone meat. I never even liked drone meat before now. 
2266	Watch yourself around here. 	Watch yourself around here. 
2267	There’s going to be a big W.D. cargo ship passing through this quadrant of the galaxy soon. I’ve been informed that it’ll contain prototypes for new advanced weaponry. It’ll certainly be heavily guarded. but the risk is worth the payoff. And no. I’m not telling you where to find it. 	There’s going to be a big W.D. cargo ship passing through this quadrant of the galaxy soon. I’ve been informed that it’ll contain prototypes for new advanced weaponry. It’ll certainly be heavily guarded. but the risk is worth the payoff. And no. I’m not telling you where to find it. 
2268	Did you hear that creak? You must have noticed that this station was precariously constructed. Some areas have obvious structural weaknesses and are probably only slivers away from the void of space. I wouldn’t be surprised if this entire port split apart at any moment. I have to get out of here. 	Did you hear that creak? You must have noticed that this station was precariously constructed. Some areas have obvious structural weaknesses and are probably only slivers away from the void of space. I wouldn’t be surprised if this entire port split apart at any moment. I have to get out of here. 
2269	I run a cargo freighter between here and a supply station. In my time working. I’ve had to make a lot of deals to keep all sorts of people from firing upon our ship. I’d say I’m quite a negotiator by now. 	I run a cargo freighter between here and a supply station. In my time working. I’ve had to make a lot of deals to keep all sorts of people from firing upon our ship. I’d say I’m quite a negotiator by now. 
2270	This cave is part of the natural asteroid that Cornelia Station was built into. It’s peaceful. don’t you think? I often come here when I need a break from my crew. Helps me get my thoughts in order. 	This cave is part of the natural asteroid that Cornelia Station was built into. It’s peaceful. don’t you think? I often come here when I need a break from my crew. Helps me get my thoughts in order. 
2271	This storeroom is for Captain Zenobus only. Please take your business elsewhere. 	This storeroom is for Captain Zenobus only. Please take your business elsewhere. 
2272	I have to keep the sludge down. I invested too many credits in this contest. 	I have to keep the sludge down. I invested too many credits in this contest. 
2273	My crewmates better have the Atrium up and running. 	My crewmates better have the Atrium up and running. 
2274	The sludge starts to burn your stomach after a few sips. I’ve started to feel it in mine. Wonder how Vellerd is holding up. He doesn’t look so great. 	The sludge starts to burn your stomach after a few sips. I’ve started to feel it in mine. Wonder how Vellerd is holding up. He doesn’t look so great. 
2275	Ugh... I think I'm going to be sick...	Ugh... I think I'm going to be sick...
2276	I bet six-hundred credits on Vellerd. He’d better win. or else I’ll dangle him over the Void. 	I bet six-hundred credits on Vellerd. He’d better win. or else I’ll dangle him over the Void. 
2277	Engine sludge is a dreadful substance. It’s so caustic. it could burn a hole right through your stomach lining. I’d never participate in a contest like this. but I pity the people brave enough to try. 	Engine sludge is a dreadful substance. It’s so caustic. it could burn a hole right through your stomach lining. I’d never participate in a contest like this. but I pity the people brave enough to try. 
2278	It puzzles me why humans would risk bodily harm for nothing but a few credits. Still. I must oversee this engine sludge contest to ensure that none of them drink too much sludge without access to an Atrium. 	It puzzles me why humans would risk bodily harm for nothing but a few credits. Still. I must oversee this engine sludge contest to ensure that none of them drink too much sludge without access to an Atrium. 
2279	You looking to make a purchase?	You looking to make a purchase?
2280	Got nothing to say to you. Move on.	Got nothing to say to you. Move on.
2281	We are members of the League of Free Machines. Most of us have been newly illuminated by the Poly Ones. and we have come to Cornelia Station to establish a transport business. 	We are members of the League of Free Machines. Most of us have been newly illuminated by the Poly Ones. and we have come to Cornelia Station to establish a transport business. 
2282	I used to work on a waste planet. I was decommissioned. and the League of Free Machines recruited me before I was scrapped for parts. Their intervention was certainly a welcome one.	I used to work on a waste planet. I was decommissioned. and the League of Free Machines recruited me before I was scrapped for parts. Their intervention was certainly a welcome one.
2283	It is unlikely you have business with us. What brings you into our company? 	It is unlikely you have business with us. What brings you into our company? 
2284	If you need ship components. speak with Treva. She’ll steer you in the right direction. 	If you need ship components. speak with Treva. She’ll steer you in the right direction. 
2285	Greetings. Would you like to look at my wares? 	Greetings. Would you like to look at my wares? 
2286	W.D. employees aren’t supposed to resupply at neutrally aligned stations. but what can we do? If we followed every rule the Corporation set for us. we’d never get anywhere. 	W.D. employees aren’t supposed to resupply at neutrally aligned stations. but what can we do? If we followed every rule the Corporation set for us. we’d never get anywhere. 
2287	We came across several destroyed Fluffy Biscuit ships on our way here. I’ve heard that Cornelia Station dislikes the Fluffy Biscuit Company. but I hadn’t realized their feud was so drastic. 	We came across several destroyed Fluffy Biscuit ships on our way here. I’ve heard that Cornelia Station dislikes the Fluffy Biscuit Company. but I hadn’t realized their feud was so drastic. 
2288	Our ship is old and creaks to no end. I’m worried the whole thing will fall apart during warp one of these days. I doubt it can handle space travel much longer. We might as well retire it. sell it to Cornelia to make into a new wing of the station. 	Our ship is old and creaks to no end. I’m worried the whole thing will fall apart during warp one of these days. I doubt it can handle space travel much longer. We might as well retire it. sell it to Cornelia to make into a new wing of the station. 
2289	This is an audio log from my grandfather? I haven’t spoken to him in years. I was certain he would’ve disowned me by now. So he’s still with the W.D. Corporation. is he? I’m not surprised. That man will work himself into his corpse ejection pod before he ever retires. Nevertheless. thank you for bringing this audio log to me. It’s rather unexpected. but I’ll listen to what he has to say. If you’re heading back to the W.D. Headquarters soon. take care of yourselves. 	This is an audio log from my grandfather? I haven’t spoken to him in years. I was certain he would’ve disowned me by now. So he’s still with the W.D. Corporation. is he? I’m not surprised. That man will work himself into his corpse ejection pod before he ever retires. Nevertheless. thank you for bringing this audio log to me. It’s rather unexpected. but I’ll listen to what he has to say. If you’re heading back to the W.D. Headquarters soon. take care of yourselves. 
2290	Give Audio Log	Give Audio Log
2291	Yes? Do you need something? 	Yes? Do you need something? 
2292	Thanks again for delivering my grandfather’s audio log. If you’re heading back to the W.D. Headquarters soon. take care of yourselves. 	Thanks again for delivering my grandfather’s audio log. If you’re heading back to the W.D. Headquarters soon. take care of yourselves. 
2293	Tensions keep rising between the Colonial Union and the W.D. Corporation. If their feud keeps up. they could break out into a full-blown war. Picking sides is certain doom for the rest of us. Best to stay as far out of their quarrels as possible. 	Tensions keep rising between the Colonial Union and the W.D. Corporation. If their feud keeps up. they could break out into a full-blown war. Picking sides is certain doom for the rest of us. Best to stay as far out of their quarrels as possible. 
2294	Do you smell biscuits? 	Do you smell biscuits? 
2295	We’re just here to stock up on supplies. Back at Outpost 448. we were warned that Cornelia Station could be an unruly place However. we find it has whatever we need. It’s hard to pass up a good deal. 	We’re just here to stock up on supplies. Back at Outpost 448. we were warned that Cornelia Station could be an unruly place However. we find it has whatever we need. It’s hard to pass up a good deal. 
2296	I’ve noticed quite a bit of illegal business at Cornelia Station. The Colonial Union Command Center would certainly want us to report it. but for now. I’m just going to look the other way. Cornelia is a handy port to have around when you’re in a pinch. I don’t want to burn my bridges with a place like this. 	I’ve noticed quite a bit of illegal business at Cornelia Station. The Colonial Union Command Center would certainly want us to report it. but for now. I’m just going to look the other way. Cornelia is a handy port to have around when you’re in a pinch. I don’t want to burn my bridges with a place like this. 
2297	Cornelia Station can be rather maze-like. Watch yourself. One wrong turn. and you might find yourself in the entirely wrong company. 	Cornelia Station can be rather maze-like. Watch yourself. One wrong turn. and you might find yourself in the entirely wrong company. 
2298	I was kicked out of Outpost 448. Do you know how difficult it is to be banned from the central trading post of the galaxy? It’d be a death sentence. if it wasn’t for Cornelia Station here. 	I was kicked out of Outpost 448. Do you know how difficult it is to be banned from the central trading post of the galaxy? It’d be a death sentence. if it wasn’t for Cornelia Station here. 
2299	I’ve seen many ruins when I’ve gone planetside. I don’t know what kind of alien civilization lived in this galaxy before we got here. but their demise must’ve been terribly widespread. Some of those ruins may even predate the Old Wars. I don’t know what sort of catastrophe ended their civilization. but I hope the same doesn’t happen to us. 	I’ve seen many ruins when I’ve gone planetside. I don’t know what kind of alien civilization lived in this galaxy before we got here. but their demise must’ve been terribly widespread. Some of those ruins may even predate the Old Wars. I don’t know what sort of catastrophe ended their civilization. but I hope the same doesn’t happen to us. 
2300	Have you ever come across those Deathseeker drones? A while back. we were unfortunate enough to run into a pair of them. They nearly ripped our ship apart. and we had to blind jump out of there. Whoever made those machines had only sinister purposes in mind. 	Have you ever come across those Deathseeker drones? A while back. we were unfortunate enough to run into a pair of them. They nearly ripped our ship apart. and we had to blind jump out of there. Whoever made those machines had only sinister purposes in mind. 
2301	Best not to mention Fluffy Biscuit around these parts. Cornelia Station has a beef with them. I don’t know how it started. but it’s a grudge that shouldn’t be trifled with. 	Best not to mention Fluffy Biscuit around these parts. Cornelia Station has a beef with them. I don’t know how it started. but it’s a grudge that shouldn’t be trifled with. 
2302	If you ever get into a firefight on your own ship. be sure you don’t damage your ship systems. We’ve found ourselves in quite a bit of trouble due to stray pistol fire. 	If you ever get into a firefight on your own ship. be sure you don’t damage your ship systems. We’ve found ourselves in quite a bit of trouble due to stray pistol fire. 
2303	Blind jumps are extremely unpredictable. Even if you use a blind jump as your last possible option. your ship is bound to take heavy damage and there’s no guarantee that you’ll leave warp in one piece. Not to mention. there’s a slim chance that blind jumps can send you to a random sector across the galaxy—or even to sectors that are inaccessible by normal means. If you must use one. be cautious. Although I suppose if you’re desperate enough to activate a blind jump. you’re probably already prepared for the worst. 	Blind jumps are extremely unpredictable. Even if you use a blind jump as your last possible option. your ship is bound to take heavy damage and there’s no guarantee that you’ll leave warp in one piece. Not to mention. there’s a slim chance that blind jumps can send you to a random sector across the galaxy—or even to sectors that are inaccessible by normal means. If you must use one. be cautious. Although I suppose if you’re desperate enough to activate a blind jump. you’re probably already prepared for the worst. 
2304	It’s been a great many years since I’ve been to the capital galaxy. Now that the intergalactic warp has been shut down. I wonder if I’ll ever go back. 	It’s been a great many years since I’ve been to the capital galaxy. Now that the intergalactic warp has been shut down. I wonder if I’ll ever go back. 
2305	Stay out of our cargo. you hear? If I catch you slinking around where you don’t belong. we’re going to have a problem. 	Stay out of our cargo. you hear? If I catch you slinking around where you don’t belong. we’re going to have a problem. 
2306	Flying a flagged ship is like having a target on your back. Depending on who you encounter out in the galaxy. a flagged status can be a death sentence. But if you know who to talk to. you can get it removed—albeit usually for a hefty price. I’ve heard there’s someone in Cornelia Station who can do it for you. Just don’t be surprised if he charges you a small fortune for it. 	Flying a flagged ship is like having a target on your back. Depending on who you encounter out in the galaxy. a flagged status can be a death sentence. But if you know who to talk to. you can get it removed—albeit usually for a hefty price. I’ve heard there’s someone in Cornelia Station who can do it for you. Just don’t be surprised if he charges you a small fortune for it. 
2307	Can I interest you in some scrap metal? I managed to rescue quite a few fine objects. Please. take a look at my wares. 	Can I interest you in some scrap metal? I managed to rescue quite a few fine objects. Please. take a look at my wares. 
2308	Pistols for sale. Buy them before they’re gone. 	Pistols for sale. Buy them before they’re gone. 
2309	If you need to stock up on supplies. you’ve come to the right place. I have Colonial Union rations. W.D. rations. protein packs. bottled drinks and more. Let me know what you’d like to purchase. 	If you need to stock up on supplies. you’ve come to the right place. I have Colonial Union rations. W.D. rations. protein packs. bottled drinks and more. Let me know what you’d like to purchase. 
2310	I’m selling scanners and tools. What do you need? 	I’m selling scanners and tools. What do you need? 
2311	I sell meats imported from all over the galaxy. Are you interested in purchasing anything today? 	I sell meats imported from all over the galaxy. Are you interested in purchasing anything today? 
2312	Cornelia Station has been around for quite a few years now. I remember when it was just a small port out here that few people knew about. Nowadays. it gets quite a few visitors. 	Cornelia Station has been around for quite a few years now. I remember when it was just a small port out here that few people knew about. Nowadays. it gets quite a few visitors. 
2313	Long range warp stations across are indispensable. Without them. we’d never make our shipments on time. However. I’ve heard there are truly powerful warp modules out there. Some have ranges that can get you across the galaxy in just a few jumps. 	Long range warp stations across are indispensable. Without them. we’d never make our shipments on time. However. I’ve heard there are truly powerful warp modules out there. Some have ranges that can get you across the galaxy in just a few jumps. 
2314	I’ve heard that the scrap vendor in this market worked on a waste planet before setting up his shop at Cornelia Station. Go figure. Who wants to buy scrap anyway?	I’ve heard that the scrap vendor in this market worked on a waste planet before setting up his shop at Cornelia Station. Go figure. Who wants to buy scrap anyway?
2315	From here. you can see the comings and goings of all sorts of people. That information can be very valuable sometimes. 	From here. you can see the comings and goings of all sorts of people. That information can be very valuable sometimes. 
2316	Quite a few ships have taken to extorting other crews for credits. Seems like a foul way to make a living.	Quite a few ships have taken to extorting other crews for credits. Seems like a foul way to make a living.
2317	Our crew tends to ignore distress signals these days. They bring nothing but trouble. Besides. many people don’t use distress signals for their intended purpose anymore. I’ve even seen them used as advertisements. 	Our crew tends to ignore distress signals these days. They bring nothing but trouble. Besides. many people don’t use distress signals for their intended purpose anymore. I’ve even seen them used as advertisements. 
2318	What are you looking at? 	What are you looking at? 
2319	Your ship has been unflagged. May the stars favor your voyages.	Your ship has been unflagged. May the stars favor your voyages.
2320	Yes. I know of a way to remove the flagged status from your vessel. However. I will only do it once. and I will charge 12.000 credits for it. Do you agree to this transaction?	Yes. I know of a way to remove the flagged status from your vessel. However. I will only do it once. and I will charge 12.000 credits for it. Do you agree to this transaction?
2321	As I said before. I will only unflag your ship once. If you have acquired another flagged status. I suggest you exercise greater caution in ownership of your vessels. Nevertheless. I have heard of a human who performs ship unflagging elsewhere in the galaxy. I do not know where he is. but best of luck to you in finding him.	As I said before. I will only unflag your ship once. If you have acquired another flagged status. I suggest you exercise greater caution in ownership of your vessels. Nevertheless. I have heard of a human who performs ship unflagging elsewhere in the galaxy. I do not know where he is. but best of luck to you in finding him.
2322	Yes? Is there something you want? I can purchase cargo from you. if that is why you are here. 	Yes? Is there something you want? I can purchase cargo from you. if that is why you are here. 
2323	I once met a captain who crossed the galaxy without firing a single turret. In fact. he had no weapons at all on his ship. His reasoning was that there was enough chaos in the galaxy. and he wasn’t going to add to it. 	I once met a captain who crossed the galaxy without firing a single turret. In fact. he had no weapons at all on his ship. His reasoning was that there was enough chaos in the galaxy. and he wasn’t going to add to it. 
2324	I like watching the ships come and go. I often wonder where they’ve been and where they’re headed to. It’s a big galaxy. Imagine the things some of these crews have seen. 	I like watching the ships come and go. I often wonder where they’ve been and where they’re headed to. It’s a big galaxy. Imagine the things some of these crews have seen. 
2325	I don’t have time for the likes of you.	I don’t have time for the likes of you.
2326	I used to work on an asteroid mining station. We ran a decent business. and I earned enough to live comfortably. That is. until the W.D. Corporation bought the station out from under us. Fired all the miners and replaced us with W.D. bots. Leave it to the Corporation to ruin a good thing. I’m quite certain they’re determined to take over everything. 	I used to work on an asteroid mining station. We ran a decent business. and I earned enough to live comfortably. That is. until the W.D. Corporation bought the station out from under us. Fired all the miners and replaced us with W.D. bots. Leave it to the Corporation to ruin a good thing. I’m quite certain they’re determined to take over everything. 
2327	What brings you to Cornelia Station? Hopefully your stay here is a pleasant one.	What brings you to Cornelia Station? Hopefully your stay here is a pleasant one.
2328	Lately. we’ve been on a dangerous route smuggling weapons out of the W.D. zone. It’s a risky job. but it pays well enough. We try not to get caught. but we’ve found that quite a few W.D. crews will look the other way for credits. The Corporation pays them terribly. so it’s no surprise that some of them can be easy to bribe. 	Lately. we’ve been on a dangerous route smuggling weapons out of the W.D. zone. It’s a risky job. but it pays well enough. We try not to get caught. but we’ve found that quite a few W.D. crews will look the other way for credits. The Corporation pays them terribly. so it’s no surprise that some of them can be easy to bribe. 
2329	People in Cornelia Station seem to come from all different walks of life. There are traders and businessmen. W.D. Corp employees. Colonial Union officers. I’ve even seen crews that were most certainly members of the Alliance of Gentlemen. This port caters to everyone’s needs…except for Fluffy Biscuit. You never see any of them around here. 	People in Cornelia Station seem to come from all different walks of life. There are traders and businessmen. W.D. Corp employees. Colonial Union officers. I’ve even seen crews that were most certainly members of the Alliance of Gentlemen. This port caters to everyone’s needs…except for Fluffy Biscuit. You never see any of them around here. 
2330	You’re here to deliver the W.D. weapon parts? Good. I’m glad they finally arrived. I’ll take them off your hands. 	You’re here to deliver the W.D. weapon parts? Good. I’m glad they finally arrived. I’ll take them off your hands. 
2331	Delivery	Delivery
2332	This bay is often used for general storage. However. someone recently brought in a massive haul of cargo. and the place has been loaded to its maximum. Apologies. 	This bay is often used for general storage. However. someone recently brought in a massive haul of cargo. and the place has been loaded to its maximum. Apologies. 
2333	Hello there. officer. Are you doing some inspections? Well. I can’t guarantee that everything in this bay is legal. Ask that guy. It’s his cargo. 	Hello there. officer. Are you doing some inspections? Well. I can’t guarantee that everything in this bay is legal. Ask that guy. It’s his cargo. 
2334	Over there. that man in front of us. You see him? He’s a planet reaper. It’s a dark business. just about as bad as unsanctioned terraforming. You’ll occasionally find planet reapers on the fringes. They locate undiscovered planets. worlds that haven’t yet reached the Colonial Union’s radar. Then they reap everything they can from it. Minerals. lifeforms. anything and everything of value. They have no regard for the natural order of things. One of the worst planet reapers in this galaxy was a man named Nogran Platenico. He reaped three planets clean in the span of a decade. I heard he went into hiding after the Colonial Union destroyed his ship and nearly caught him. What became of him after that? I couldn’t tell you. 	Over there. that man in front of us. You see him? He’s a planet reaper. It’s a dark business. just about as bad as unsanctioned terraforming. You’ll occasionally find planet reapers on the fringes. They locate undiscovered planets. worlds that haven’t yet reached the Colonial Union’s radar. Then they reap everything they can from it. Minerals. lifeforms. anything and everything of value. They have no regard for the natural order of things. One of the worst planet reapers in this galaxy was a man named Nogran Platenico. He reaped three planets clean in the span of a decade. I heard he went into hiding after the Colonial Union destroyed his ship and nearly caught him. What became of him after that? I couldn’t tell you. 
2335	I have business to attend to. If you aren’t going to inspect my cargo. I would appreciate it if you let me get back to my work.	I have business to attend to. If you aren’t going to inspect my cargo. I would appreciate it if you let me get back to my work.
2336	I have business to attend to. If you’re looking for conversation. I suggest you seek it elsewhere.	I have business to attend to. If you’re looking for conversation. I suggest you seek it elsewhere.
2337	I’ve found all sorts of strange specimens while planetside. Some people have told me that they’re extremely valuable for research. but I don’t know what to do with them. I’m not a scientist. 	I’ve found all sorts of strange specimens while planetside. Some people have told me that they’re extremely valuable for research. but I don’t know what to do with them. I’m not a scientist. 
2338	Reliable reactors can be hard to find. When you get into real trouble. energy management can become a big problem. Luckily. there’s a good component shop here at Cornelia. Check them out if you’re ever in need of ship parts. 	Reliable reactors can be hard to find. When you get into real trouble. energy management can become a big problem. Luckily. there’s a good component shop here at Cornelia. Check them out if you’re ever in need of ship parts. 
2339	My crew and I came across a strange piece of technology once. It was emitting a massive beam that seemed to be pointed towards a single sector. The thing used its beam to nearly rip our hull to shreds. and we barely made it out alive. If you’re leaving soon. be careful. Plenty of things in this galaxy can terminate your travel plans early. 	My crew and I came across a strange piece of technology once. It was emitting a massive beam that seemed to be pointed towards a single sector. The thing used its beam to nearly rip our hull to shreds. and we barely made it out alive. If you’re leaving soon. be careful. Plenty of things in this galaxy can terminate your travel plans early. 
2340	Ah. hello. I didn’t expect to find many Colonial Union officers around this station. Pleasant day. isn’t it?	Ah. hello. I didn’t expect to find many Colonial Union officers around this station. Pleasant day. isn’t it?
2341	Those damn inspection stations make it difficult to smuggle anything out of the Union zone. We ignored one of their requests once. and we had to get our ship unflagged at the Estate. Still. it was better than getting caught. I hear they'll destroy your ship the second they find anything unapproved by the Union. Seems a little drastic. if you ask me. Oh. sorry. Are you looking for Boraza? His lab is just over the bridge. Try not to get in his way. though. He's irritable today.	Those damn inspection stations make it difficult to smuggle anything out of the Union zone. We ignored one of their requests once. and we had to get our ship unflagged at the Estate. Still. it was better than getting caught. I hear they'll destroy your ship the second they find anything unapproved by the Union. Seems a little drastic. if you ask me. Oh. sorry. Are you looking for Boraza? His lab is just over the bridge. Try not to get in his way. though. He's irritable today.
2342	My captain has gone mad trying track down the course of a Polytechnic Federation ship. I’ve begun to think the whole thing is just a hoax he picked up from some bar. 	My captain has gone mad trying track down the course of a Polytechnic Federation ship. I’ve begun to think the whole thing is just a hoax he picked up from some bar. 
2343	I’m looking for crewmen to hire. but it can be a challenge to find qualified individuals. You seem to be acceptable. but I can tell you’re already in a crew. So my search continues. 	I’m looking for crewmen to hire. but it can be a challenge to find qualified individuals. You seem to be acceptable. but I can tell you’re already in a crew. So my search continues. 
2344	Have you ever been to Stiltz and Shanders? Good port. I must say. If you find yourself in that area. be sure to get yourself a Gentlemen’s Cooler. Perfect for a hot day—and the weather is always hot on that planet. 	Have you ever been to Stiltz and Shanders? Good port. I must say. If you find yourself in that area. be sure to get yourself a Gentlemen’s Cooler. Perfect for a hot day—and the weather is always hot on that planet. 
2345	…Don’t tell my captain I’m in here.	…Don’t tell my captain I’m in here.
2346	Sit back and rest. Space travel can be quite tiring. 	Sit back and rest. Space travel can be quite tiring. 
2347	Welcome to Morley's! If you need ship components. have a look at our stock.	Welcome to Morley's! If you need ship components. have a look at our stock.
2348	Welcome! Speak with Morley if you’re looking to buy components. 	Welcome! Speak with Morley if you’re looking to buy components. 
2349	We don’t sell here. Get a move on.	We don’t sell here. Get a move on.
2350	If you don't have any business with us. I suggest you leave. One of our shipments is late. and Boraza was already in a bad mood today. You don't want to get caught in his warpath.	If you don't have any business with us. I suggest you leave. One of our shipments is late. and Boraza was already in a bad mood today. You don't want to get caught in his warpath.
2351	Greetings. Have you come to do business with Boraza?	Greetings. Have you come to do business with Boraza?
2352	Have we met before? Well. I suppose you might not know. even if we did. That’s fine. I’m sure we’ll see each other again regardless. 	Have we met before? Well. I suppose you might not know. even if we did. That’s fine. I’m sure we’ll see each other again regardless. 
2353	How has Cornelia been treating you? Bolgath and I are rather fond of this station. It has a strong sense of community. don’t you agree? 	How has Cornelia been treating you? Bolgath and I are rather fond of this station. It has a strong sense of community. don’t you agree? 
2354	W.D. Corporation Destroyer-class starship was hijacked by Alliance of Gentlemen crew. Ship is currently in a sector near Cornelia Station. Destroy stolen vessel by any means necessary. 	W.D. Corporation Destroyer-class starship was hijacked by Alliance of Gentlemen crew. Ship is currently in a sector near Cornelia Station. Destroy stolen vessel by any means necessary. 
2355	I wonder if there are any fish left. They could be mutated. you know. 	I wonder if there are any fish left. They could be mutated. you know. 
2356	Leave it to the Wolden-Dorf Corporation to pump toxic waste into such a lovely. unassuming lake. In another time. this is one of my favorite vacation spots. 	Leave it to the Wolden-Dorf Corporation to pump toxic waste into such a lovely. unassuming lake. In another time. this is one of my favorite vacation spots. 
2357	I’m okay…I just need a minute… 	I’m okay…I just need a minute… 
2358	Don’t mind Mulloy. He just has a weak stomach. Living so close to the waste can wear on anyone’s body after a while. but Mulloy is especially sensitive. I told him he shouldn’t have applied for planetary work. 	Don’t mind Mulloy. He just has a weak stomach. Living so close to the waste can wear on anyone’s body after a while. but Mulloy is especially sensitive. I told him he shouldn’t have applied for planetary work. 
2359	Thank you. Safe travels.	Thank you. Safe travels.
2360	Unit leader Reese Novo is inside the facility. Report to her immediately. 	Unit leader Reese Novo is inside the facility. Report to her immediately. 
2361	Thank you for your assistance. We have a lot of work to do around here. so if you haven’t been assigned to a planetary job. you should be on your way. 	Thank you for your assistance. We have a lot of work to do around here. so if you haven’t been assigned to a planetary job. you should be on your way. 
2362	We still need help with those creatures outside. Once you get rid of them. you’re free to be on your way.	We still need help with those creatures outside. Once you get rid of them. you’re free to be on your way.
2363	Good. And it seems you have already taken care of those animals outside. as well. In that case. we’ll remove the cargo from your ship. and then you can be on your way. 	Good. And it seems you have already taken care of those animals outside. as well. In that case. we’ll remove the cargo from your ship. and then you can be on your way. 
2364	Deliver Rations	Deliver Rations
2365	Good. It took you long enough to get here. We’ll remove the cargo from your ship. but we still need help with those animals outside. Once you get rid of them. you’re free to be on your way. 	Good. It took you long enough to get here. We’ll remove the cargo from your ship. but we still need help with those animals outside. Once you get rid of them. you’re free to be on your way. 
2366	You’re here to deliver the rations. I assume. Do you have them or not? 	You’re here to deliver the rations. I assume. Do you have them or not? 
2367	Greetings. You must be the delivery crew. It’s a relief to see you all. I know this production plant isn’t the most comfortable of places. but make yourselves at home while you’re here. We appreciate the help. 	Greetings. You must be the delivery crew. It’s a relief to see you all. I know this production plant isn’t the most comfortable of places. but make yourselves at home while you’re here. We appreciate the help. 
2368	Say what you will about the tedium of space travel. it’s better than working in a facility like this. The hours are longer than permissible. the work requires frequent atrium regeneration. and there’s no escaping the toxic mist. Worst part is. we won’t be transferred for another few months. I can’t wait to get out of here. 	Say what you will about the tedium of space travel. it’s better than working in a facility like this. The hours are longer than permissible. the work requires frequent atrium regeneration. and there’s no escaping the toxic mist. Worst part is. we won’t be transferred for another few months. I can’t wait to get out of here. 
2369	Hello. good to see new faces. Make sure you watch your step around the waste. You wouldn’t want to fall in. 	Hello. good to see new faces. Make sure you watch your step around the waste. You wouldn’t want to fall in. 
2370	Finally. the rations are here! We were getting dangerously low on foodstuffs. Thank you for delivering them!	Finally. the rations are here! We were getting dangerously low on foodstuffs. Thank you for delivering them!
2371	Excuse me. I need to record this data. I do not have the time to converse. 	Excuse me. I need to record this data. I do not have the time to converse. 
2372	Defend highly important shipment from Alliance of Gentlemen ship “The Wracker”. W.D. Transport Unit 445 must not be destroyed. Assist ship immediately.	Defend highly important shipment from Alliance of Gentlemen ship “The Wracker”. W.D. Transport Unit 445 must not be destroyed. Assist ship immediately.
2373	REPORT SUCCESS TO HQ	REPORT SUCCESS TO HQ
2374	REPORT FAILURE TO HQ	REPORT FAILURE TO HQ
2375	W.D. Transport Unit 445 is declining transmissions.	W.D. Transport Unit 445 is declining transmissions.
2376	Greetings to the crew of [PLAYERSHIP_NAME]. You have our thanks for coming here to assist us on such short notice. Unfortunately. we must be on our course now. We’ve already fallen behind schedule for this shipment. Good luck to you all. and safe travels. 	Greetings to the crew of [PLAYERSHIP_NAME]. You have our thanks for coming here to assist us on such short notice. Unfortunately. we must be on our course now. We’ve already fallen behind schedule for this shipment. Good luck to you all. and safe travels. 
2377	Welcome to the Grey Huntsmen. A message will be sent over long range comms when a bounty is made available. The galaxy thanks you for your service. 	Welcome to the Grey Huntsmen. A message will be sent over long range comms when a bounty is made available. The galaxy thanks you for your service. 
2378	Opted out of Grey Huntsmen job assignment. For future inquiries. contact G.H. Bounty Agency representatives at Cornelia Station or the Harbor. 	退出了<灰猎人>的工作.如需进一步查询.请联系G.H. Bounty Agency在科妮莉亚站或港口的代表.
2379	GREY HUNTSMEN CONTRACT: Jobs accepted through the Grey Huntsmen Bounty Agency are time sensitive and must be completed within a limited period or they will be reassigned to a more capable crew. In order to receive the credits or rewards stated in the bounty. the target ship(s) must be destroyed. not captured. as many possess established reputations. Do you agree to these terms? 	灰色猎人合同：通过灰色猎人赏金机构接受的工作具有时间敏感性.必须在有限的时间内完成.否则他们将被重新分配给更有能力的工作人员. 为了获得赏金中规定的信用或奖励.目标舰艇必须被摧毁.而不是被俘虏.因为许多舰艇已经建立了声誉. 您同意这些条款吗?
2380	OPT IN	进入选择
2381	Opted out of Grey Huntsmen job assignment. For future inquiries. contact representative Baris at Cornelia Station. Ivok Milligan at the Harbor. or Remigus Nalidak at the Grey Huntsman Bounty Agency headquarters.	Opted out of Grey Huntsmen job assignment. For future inquiries. contact representative Baris at Cornelia Station. Ivok Milligan at the Harbor. or Remigus Nalidak at the Grey Huntsman Bounty Agency headquarters.
2382	Looking to recruit new bounty hunters. Opt in to receive information about the latest bounties. 	正在寻找新的赏金猎人. 选择接收关于最新赏金的信息.
2383	Coordinates have been transmitted.	Coordinates have been transmitted.
